epoch,time_sec,lr,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc
1,24.120434045791626,9.990232305719945e-05,0.329205189302229,0.3072157471324317,0.8638916015625,0.8726919947424423,0.8517930233978862,0.8621158721325666,0.9434948089954704
2,23.056450128555298,9.960967771506666e-05,0.23939557384983345,0.3052246581646614,0.873016357421875,0.9097194254262317,0.8279674995418168,0.8669203953049541,0.9456695719646427
3,23.059203386306763,9.912321891107009e-05,0.20780191567700967,0.3329624478064943,0.867218017578125,0.9164241164241165,0.8078685319811839,0.8587291795188156,0.9414927487666477
4,23.04256510734558,9.844486647586723e-05,0.19139612687558838,0.26315412150142947,0.896820068359375,0.9145282777990553,0.8752520007330931,0.8944591852661152,0.9624856675389231
5,23.027137994766235,9.757729755661011e-05,0.1799783901487899,0.3117481129011139,0.87677001953125,0.9608341430600195,0.7853259209481337,0.8642597821702299,0.9562199233080548
6,23.1232008934021,9.652393605146844e-05,0.16973468417654658,0.29922271800023736,0.884002685546875,0.9178191489361702,0.8433013623312359,0.8789837307778026,0.9543047015315215
7,23.06952476501465,9.528893909706797e-05,0.1629036153162815,0.29127424638863886,0.88623046875,0.9374351166170669,0.8274787708473333,0.8790317347004997,0.957539200582803
8,23.089396953582764,9.387718066217124e-05,0.1561718777529677,0.4041838318553346,0.848297119140625,0.9606369220821209,0.7260675667420123,0.8270415086461849,0.946055897930924
9,23.042954921722412,9.229423231234974e-05,0.15072430381815138,0.2958850857176003,0.891998291015625,0.9426580182169473,0.8345653369173438,0.8853245196202326,0.9557334987075524
10,23.066367387771606,9.054634122155989e-05,0.14609477872272691,0.286776490691409,0.8941650390625,0.9369961384730032,0.8449508216751176,0.888596209444266,0.9643281306096516
11,23.112064361572266,8.864040551740155e-05,0.14128953725548854,0.27383931440272136,0.89990234375,0.9367367367367367,0.8575355855580671,0.8953881482426485,0.962067333851569
12,23.0833158493042,8.658394705735986e-05,0.1366894230395701,0.37200239535741275,0.86639404296875,0.951774546002562,0.7716415175025964,0.8522941970310391,0.9429965808027636
13,23.07612919807434,8.438508174347008e-05,0.134079966196623,0.3472712212242186,0.878814697265625,0.9500508203862349,0.799437962001344,0.8682612878611949,0.9487729332369194
14,23.024126768112183,8.205248749256013e-05,0.13089943935347037,0.3789013537207211,0.863616943359375,0.9421162134046663,0.7745738896694973,0.8501693096858551,0.9450864126698779
15,23.094355583190918,7.959536998847742e-05,0.12730746285069472,0.39957952124314033,0.858367919921875,0.9560584849898895,0.7509927301606696,0.8412084716187087,0.945040919386621
16,23.069325923919678,7.702342635146032e-05,0.12582210202572242,0.38169715394906234,0.868316650390625,0.9530897609382047,0.7745127985826867,0.8545718041184995,0.9472476807636327
17,23.07672095298767,7.434680686803489e-05,0.12146872949324461,0.36517763222946087,0.8653564453125,0.9588610023793077,0.7632109475227564,0.8499217633852643,0.9547843423727045
18,23.04617166519165,7.157607493247108e-05,0.11991574623698398,0.41478502433528774,0.854949951171875,0.9469067405355494,0.7517869142892052,0.8381406436233612,0.9344660053210377
19,23.09547519683838,6.872216535789155e-05,0.11650910857315466,0.2799201463240024,0.896697998046875,0.9565400843881856,0.8309609627955281,0.889339304978914,0.9682619249780964
20,23.070977210998535,6.579634122155988e-05,0.1137845738762735,0.3129137044197705,0.8878173828125,0.948357470858354,0.8200867493432709,0.879570174289084,0.9588260659421415
21,23.058244705200195,6.28101494146603e-05,0.11207761215177925,0.44072960272751516,0.854248046875,0.9568850003941042,0.7416457938786731,0.8356277533039648,0.9380149154117554
22,23.03406286239624,5.9775375071993364e-05,0.10933855659686742,0.2951350469556928,0.895355224609375,0.9515633724176438,0.8329158775734621,0.8882952731537284,0.963241626431666
23,23.03391122817993,5.670399506143306e-05,0.10706311441117577,0.49998119554220466,0.846405029296875,0.971625894491596,0.713360620685442,0.8227005319336316,0.9377272408032014
24,23.093566179275513,5.3608130716701005e-05,0.1054521353310065,0.3700844307168154,0.87109375,0.9517220858439337,0.7815993646526972,0.8583120890916409,0.9528316664961165
25,23.071846961975098,5.049999999999999e-05,0.10336970177741023,0.38470778736518696,0.88311767578125,0.9593376804161478,0.7999266906958274,0.8724098874008928,0.9495888358260992
26,23.0763418674469,4.7391869283298976e-05,0.10144997136944767,0.3468609103510971,0.88427734375,0.9554573766929818,0.80591361720325,0.8743372216330859,0.9583055493188969
27,23.032438278198242,4.429600493856693e-05,0.09896158384526643,0.3585688026796561,0.87615966796875,0.9641806801900309,0.7811106359582137,0.8630442119473507,0.9596809835293192
28,23.000465154647827,4.122462492800662e-05,0.09648662852487178,0.40718612235468754,0.87005615234375,0.9678590744031523,0.7652880444743112,0.8547352620087336,0.9529407654392429
29,23.0900399684906,3.8189850585339674e-05,0.09569472326825235,0.31298963570952765,0.8857421875,0.9541040212934321,0.8102510843667908,0.8763131813676908,0.9653656453165047
30,23.04417371749878,3.5203658778440106e-05,0.09402029127795686,0.38673597969682305,0.87164306640625,0.9634936361557808,0.7723135194575111,0.8573753814852493,0.9565259766517012
31,23.06673526763916,3.227783464210844e-05,0.09154017901187217,0.3575336200738093,0.876434326171875,0.9469598026411261,0.7972997739629788,0.8657092633743491,0.9556081239574696
32,31.271379709243774,2.942392506752889e-05,0.08995490705365228,0.3682401871192269,0.877197265625,0.9534934979061054,0.7928401246258171,0.8657771847898599,0.9559476974913178
33,35.386037826538086,2.6653193131965075e-05,0.08866468720430021,0.5100921201901656,0.841796875,0.9645319378685937,0.7093897000427638,0.8175161926217966,0.9385902627662164
34,35.56497120857239,2.3976573648539646e-05,0.08739460570507163,0.3606486427052005,0.881500244140625,0.9619653692467072,0.7941841285356467,0.8700599002777499,0.9594446229749924
